File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\SessionSourceProvider.java,84,54,46,3,18,0,12,46,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\ShowSnapshotPerspective.java,16,10,7,0,6,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\StartupPerspective.java,18,10,7,0,8,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\TEST.java,64,39,27,2,10,0,15,42,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\ViewPart1.java,25,13,7,0,9,0,3,12,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\ViewSnapshot.java,234,168,118,35,56,0,10,34,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs\CreateFunctionDialog.java,89,58,46,2,16,0,15,42,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs\LoginDialog.java,297,212,172,12,51,3,34,122,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs\ModifyContainerDialog.java,89,57,46,2,17,0,15,42,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs\RenameDialog.java,125,84,62,8,16,1,25,65,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\dialogs\RenameTitleAreaDialog.java,116,87,66,8,14,1,15,45,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\interfaces\IIconFactory.java,36,24,23,0,10,0,2,3,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\preferencepage\SettingsPage1.java,117,91,66,2,24,1,2,7,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\preferencepage\SettingsPage2.java,108,77,56,2,29,0,2,7,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\preferencepage\SettingsPage3.java,35,25,17,0,10,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\properties\SamplePropertyPage.java,126,91,76,4,22,0,13,46,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter\AssignFunctionViewFilters.java,158,124,100,8,27,0,7,32,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter\AssignFunctionViewMethods.java,709,451,313,80,195,2,63,294,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter\IconFactory.java,192,159,95,24,32,0,1,5,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\supporter\WorkbenchConstants.java,42,25,24,0,8,0,9,29,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\temp\Dao.java,45,24,20,1,13,0,8,16,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\temp\Logon.java,41,30,24,1,11,0,0,0,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\AssignFunctionsView.java,1440,1004,745,96,293,0,143,574,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\CompareSnapshotsView.java,295,239,198,6,46,0,10,28,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\ContainerView.java,440,368,292,19,60,2,12,37,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\EventLogView.java,348,288,234,33,55,0,5,15,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\SetStatsView.java,25,13,7,0,10,0,2,8,0,0
D:\uidu1448\Amenity\Amenity\com.amenity.workbench\src\com\amenity\workbench\views\SideBar.java,334,241,202,13,84,0,9,37,0,0
